sys_RespNum,sys_RespStatus,sys_DataSource,sys_StartTime,sys_EndTime,sys_ElapsedTime,sys_SumPageTimes,sys_StartTimeStamp,sys_EndTimeStamp,sys_RespRemoved,sys_DispositionCode,sys_LastQuestion,sys_UserJavaScript,sys_UserAgent,sys_OperatingSystem,sys_Browser,sys_IPAddress,sys_ScreenWidth,sys_CAPIDeviceID,Consent,CBCwatchexercise_Random1,CBCwatchexercise_Random2,CBCwatchexercise_Random3,CBCwatchexercise_Random4,CBCwatchexercise_Fixed1,CBCwatchexercise_Random5,CBCwatchexercise_Random6,CBCwatchexercise_Fixed2,CBCwatchexercise_Random7,CBCwatchexercise_Fixed3,CBCwatchexercise_Random8,CBCwatchexercise_Random9,CBCwatchexercise_Random10,CBCwatchexercise_Random11,CBCwatchexercise_Random12,PilotTestOpenEnded,OwnWatch,LuxuryWatch,IMC,DemoAge,DemoGender,DemoGender_4_other,DemoEducation,sys_CBCVersion_CBCwatchexercise,sys_CBCDesignID_CBCwatchexercise,sys_pagetime_1,sys_pagetime_2,sys_pagetime_3,sys_pagetime_4,sys_pagetime_5,sys_pagetime_6,sys_pagetime_7,sys_pagetime_8,sys_pagetime_9,sys_pagetime_10,sys_pagetime_11,sys_pagetime_12,sys_pagetime_13,sys_pagetime_14,sys_pagetime_15,sys_pagetime_16,sys_pagetime_17,sys_pagetime_18,sys_pagetime_19,sys_pagetime_20,sys_pagetime_21,sys_pagetime_22,sys_pagetime_23,OwnWatchSegment,PROLIFICPID,OpenEndProdCatShoes,OpenEndProdCatCars,OpenEndProdCatWatches,WarmUp1,WarmUp2,WarmUp3,DemoOwnWatch,DemoTypeOfWatch,DemoWatchUseCase_1,DemoWatchUseCase_2,DemoWatchUseCase_3,DemoWatchUseCase_4,DemoWatchWTP,DemoBrandRecognition,OpenEndedIdealWatch,DemoAestheticImportance1_1,DemoAestheticImportance2_1,DemoTimeSpentGrooming,DemoIncome,DemoRentOwn,DemoSocialMedia,sys_pagetime_24,sys_pagetime_25,sys_pagetime_26,sys_pagetime_27,sys_pagetime_28,sys_pagetime_29,sys_pagetime_30,DemoAge_real,DemoEducation_real,DemoIncome_real,DemoSocialMedia_real,DemoAestheticImportance1_1_real,DemoAestheticImportance2_1_real,DemoTimeSpentGrooming_real,DemoOwnWatch_real,DemoWatchWTP_real
108,5.0,1.0,06 Mar 2023 - 01:12:14 EST,06 Mar 2023 - 01:17:46 EST,332.0,332.0,1678083134.0,1678083466.0,0.0,,TerminateComplete,1.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36",Windows 10.0,Chrome 110.0.0.0,71.86.204.206,1349.0,,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,,,,5.0,3.0,1.0,,5.0,108.0,CBC1_1677959355_6,,12.0,14.0,5.0,8.0,7.0,9.0,11.0,8.0,8.0,10.0,6.0,16.0,9.0,7.0,7.0,7.0,5.0,9.0,5.0,7.0,8.0,11.0,,63e589c58e069e904b031beb,shoe,car,watch,2.0,2.0,2.0,1.0,4.0,1.0,1.0,0.0,0.0,7.0,4.0,Black face with a silver band. Gold or silver hands. Not too big of a face. Sleek and professional looking.,5.0,5.0,5.0,2.0,2.0,6.0,5.0,7.0,7.0,13.0,82.0,12.0,17.0,-0.5,1.0,-4.5,2.5,2.0,2.0,1.5,1.0,3.0
109,5.0,1.0,06 Mar 2023 - 01:12:23 EST,06 Mar 2023 - 01:17:44 EST,321.0,319.0,1678083143.0,1678083464.0,0.0,,TerminateComplete,1.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36",Windows 10.0,Chrome 110.0.0.0,108.30.198.131,1903.0,,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,,,,5.0,2.0,1.0,,3.0,109.0,CBC1_1677959355_6,,58.0,14.0,12.0,9.0,17.0,11.0,12.0,4.0,4.0,6.0,2.0,4.0,2.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,4.0,1.0,,63e51bd9b573cd46809e1d56,Sneakers,Cars,Watches,2.0,2.0,2.0,4.0,4.0,0.0,1.0,0.0,0.0,4.0,4.0,A gold watch with a nice clock.,4.0,4.0,4.0,6.0,1.0,5.0,2.0,4.0,17.0,22.0,57.0,19.0,20.0,-1.5,-1.0,-0.5,1.5,1.0,1.0,0.5,4.0,0.0
110,5.0,1.0,06 Mar 2023 - 01:12:26 EST,06 Mar 2023 - 01:17:01 EST,275.0,273.0,1678083146.0,1678083421.0,0.0,,TerminateComplete,1.0,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36",Mac OS X 10.15.7,Chrome 110.0.0.0,2603:8002:b40:62d2:2988:8257:2915:ca4d,1338.0,,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,,,,5.0,4.0,2.0,,5.0,110.0,CBC1_1677959355_6,,13.0,22.0,5.0,11.0,29.0,35.0,11.0,8.0,8.0,5.0,5.0,6.0,6.0,4.0,5.0,3.0,4.0,5.0,6.0,4.0,5.0,5.0,,63c7d37a9a6e45fae826e7d7,shoe,car,watch,2.0,2.0,1.0,5.0,,,,,,,,,5.0,5.0,5.0,5.0,1.0,5.0,4.0,6.0,10.0,,,23.0,25.0,0.5,1.0,-1.5,1.5,2.0,2.0,1.5,5.0,
111,5.0,1.0,06 Mar 2023 - 01:12:49 EST,06 Mar 2023 - 01:21:30 EST,521.0,520.0,1678083169.0,1678083690.0,0.0,,TerminateComplete,1.0,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/110.0,Windows 10.0,Firefox 110.0,67.164.154.67,1946.0,,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,,,,5.0,3.0,1.0,,6.0,111.0,CBC1_1677959355_6,,10.0,23.0,14.0,15.0,21.0,92.0,22.0,8.0,13.0,4.0,11.0,10.0,6.0,6.0,5.0,4.0,4.0,4.0,3.0,6.0,11.0,3.0,,5c080adf76e77b00016744dc,shoes,vehicles,watches,1.0,2.0,2.0,1.0,4.0,0.0,1.0,0.0,0.0,6.0,4.0,Color and style has to match what I'm wearing that day. Sometimes I like the leather band with a dark face and silver. Other times a gold watch with a whit face and bezel. Just depends on my outfit for that day.,5.0,5.0,4.0,12.0,2.0,6.0,7.0,6.0,4.0,23.0,134.0,27.0,24.0,-0.5,2.0,5.5,2.5,2.0,2.0,0.5,1.0,2.0
112,5.0,1.0,06 Mar 2023 - 01:13:28 EST,06 Mar 2023 - 01:17:47 EST,259.0,258.0,1678083208.0,1678083467.0,0.0,,TerminateComplete,1.0,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36",Mac OS X 10.15.7,Chrome 110.0.0.0,98.39.160.170,1463.0,,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,,,,5.0,2.0,1.0,,3.0,112.0,CBC1_1677959355_6,,5.0,42.0,6.0,7.0,8.0,11.0,11.0,5.0,5.0,7.0,3.0,3.0,4.0,7.0,4.0,3.0,5.0,3.0,4.0,5.0,2.0,2.0,,5f30510aa2052d49e527ff5c,shoes,cars,watches,1.0,2.0,2.0,4.0,4.0,0.0,1.0,0.0,0.0,2.0,4.0,I like simple color schemes. i don't like watches that are many different colors.,2.0,3.0,3.0,8.0,2.0,5.0,4.0,3.0,6.0,15.0,42.0,16.0,20.0,-1.5,-1.0,1.5,1.5,-1.0,0.0,-0.5,4.0,-2.0
113,5.0,1.0,06 Mar 2023 - 01:13:51 EST,06 Mar 2023 - 01:18:31 EST,280.0,278.0,1678083231.0,1678083511.0,0.0,,TerminateComplete,1.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36",Windows 10.0,Chrome 110.0.0.0,47.225.24.5,1519.0,,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,,,,5.0,3.0,2.0,,5.0,113.0,CBC1_1677959355_6,,10.0,27.0,9.0,9.0,17.0,30.0,8.0,5.0,3.0,16.0,8.0,3.0,7.0,9.0,4.0,4.0,4.0,8.0,3.0,3.0,6.0,5.0,,5f5353ff017c5965165df065,shoes,cars,watches,2.0,1.0,1.0,5.0,,,,,,,,,5.0,5.0,5.0,11.0,2.0,6.0,2.0,4.0,23.0,,,24.0,27.0,-0.5,1.0,4.5,2.5,2.0,2.0,1.5,5.0,
114,5.0,1.0,06 Mar 2023 - 01:14:26 EST,06 Mar 2023 - 01:23:47 EST,561.0,559.0,1678083266.0,1678083827.0,0.0,,TerminateComplete,1.0,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/110.0,Windows 10.0,Firefox 110.0,2601:58b:a80:3d70:e09f:9f79:f922:bd60,1263.0,,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,,,,5.0,3.0,2.0,,2.0,114.0,CBC1_1677959355_6,,37.0,20.0,8.0,7.0,28.0,19.0,35.0,17.0,7.0,6.0,5.0,6.0,5.0,6.0,5.0,4.0,6.0,5.0,4.0,6.0,7.0,5.0,,6404fb7b9a7b3cfb4179d185,Shoes,Cars,Watches,1.0,1.0,1.0,4.0,3.0,1.0,1.0,0.0,0.0,4.0,4.0,"My ideal watch would be sleek and elegant, not overly sized or clunky looking. It would also be lightweight and comfortable to wear.",4.0,5.0,5.0,6.0,2.0,6.0,5.0,16.0,11.0,40.0,179.0,23.0,37.0,-0.5,-2.0,-0.5,2.5,1.0,2.0,1.5,4.0,0.0
115,5.0,1.0,06 Mar 2023 - 01:16:34 EST,06 Mar 2023 - 01:24:09 EST,455.0,454.0,1678083394.0,1678083849.0,0.0,,TerminateComplete,1.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36",Windows 10.0,Chrome 110.0.0.0,2603:8001:1a03:cc00:b01c:c1d8:83f2:837c,1271.0,,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,,,,5.0,2.0,1.0,,2.0,115.0,CBC1_1677959355_6,,9.0,19.0,16.0,10.0,21.0,18.0,13.0,7.0,5.0,12.0,7.0,5.0,4.0,5.0,6.0,3.0,6.0,7.0,9.0,6.0,6.0,7.0,,63ecff07b619306f41db42fa,Shoes,Cars,Watches,2.0,2.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,5.0,4.0,My ideal watch design is a metal based band with a larger Dial. The bigger the Dial the more ideal for me. For both traditional and Smartwatches.,5.0,4.0,4.0,5.0,2.0,6.0,8.0,10.0,10.0,22.0,158.0,21.0,24.0,-1.5,-2.0,-1.5,2.5,2.0,1.0,0.5,1.0,1.0
116,5.0,1.0,06 Mar 2023 - 01:17:26 EST,06 Mar 2023 - 01:21:03 EST,217.0,217.0,1678083446.0,1678083663.0,0.0,,TerminateComplete,1.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36",Windows 10.0,Chrome 110.0.0.0,216.254.245.197,940.0,,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,,,,5.0,2.0,2.0,,2.0,116.0,CBC1_1677959355_6,,35.0,8.0,6.0,4.0,10.0,10.0,5.0,1.0,3.0,9.0,6.0,3.0,2.0,5.0,3.0,5.0,1.0,2.0,3.0,1.0,2.0,2.0,,5b92b49921e7200001f530a0,shoes,cars,watches,1.0,2.0,2.0,4.0,1.0,0.0,1.0,0.0,0.0,5.0,4.0,I definitely like them not to look too mechanical.  I like them easy to read and prefer brown tones or practical watches like a Samsung Gear or Applewatch.,5.0,5.0,5.0,3.0,1.0,6.0,3.0,2.0,4.0,16.0,43.0,10.0,13.0,-1.5,-2.0,-3.5,2.5,2.0,2.0,1.5,4.0,1.0
117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,5.0,1.0,06 Mar 2023 - 01:36:45 EST,06 Mar 2023 - 01:43:52 EST,427.0,424.0,1678084605.0,1678085032.0,0.0,,TerminateComplete,1.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36",Windows 10.0,Chrome 110.0.0.0,2600:1700:8850:2b50:2d08:36fe:a217:2635,1074.0,,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,,,,5.0,2.0,1.0,,2.0,118.0,CBC1_1677959355_6,,7.0,32.0,8.0,10.0,14.0,60.0,10.0,4.0,4.0,8.0,8.0,6.0,7.0,9.0,5.0,9.0,7.0,5.0,8.0,9.0,5.0,8.0,,5f0a7dec44c42c19a6c9f6d9,shoes,cars,watch,1.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,4.0,A watch that looks appealing to the eyes and is very heavy duty and scratch resistant. A watch that allows you to customize it by changing bands and head plates.,4.0,4.0,4.0,4.0,2.0,6.0,5.0,10.0,10.0,27.0,94.0,18.0,17.0,-1.5,-2.0,-2.5,2.5,1.0,1.0,0.5,1.0,-2.0
119,5.0,1.0,08 Mar 2023 - 17:32:55 EST,08 Mar 2023 - 17:37:52 EST,297.0,294.0,1678314775.0,1678315072.0,0.0,,TerminateComplete,1.0,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/110.0,Windows 10.0,Firefox 110.0,130.132.173.53,2543.0,,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,,,,5.0,4.0,1.0,,7.0,119.0,CBC1_1677959355_6,,3.0,8.0,6.0,4.0,4.0,19.0,5.0,6.0,4.0,6.0,5.0,36.0,6.0,3.0,4.0,3.0,5.0,3.0,6.0,6.0,12.0,5.0,,VineetAlexTESTDelete,shoes,cars,watches,1.0,2.0,2.0,2.0,2.0,0.0,1.0,0.0,0.0,5.0,2.0,,4.0,2.0,3.0,12.0,1.0,4.0,42.0,3.0,10.0,11.0,27.0,18.0,24.0,0.5,3.0,5.5,0.5,1.0,-1.0,-0.5,2.0,1.0
120,5.0,1.0,08 Mar 2023 - 18:42:20 EST,08 Mar 2023 - 18:47:50 EST,330.0,327.0,1678318940.0,1678319270.0,0.0,,TerminateComplete,1.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36",Windows 10.0,Chrome 110.0.0.0,73.66.8.167,1343.0,,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,,,,5.0,5.0,1.0,,5.0,120.0,CBC1_1677959355_6,,27.0,17.0,30.0,8.0,21.0,19.0,8.0,6.0,9.0,8.0,6.0,9.0,6.0,7.0,9.0,4.0,5.0,6.0,4.0,7.0,4.0,5.0,,6409085e3b56647bcd71fdc3,shoes,vehicles,watches,2.0,1.0,2.0,5.0,,,,,,,,,5.0,4.0,3.0,4.0,2.0,6.0,3.0,4.0,9.0,,,67.0,19.0,1.5,1.0,-2.5,2.5,2.0,1.0,-0.5,5.0,
121,5.0,1.0,08 Mar 2023 - 18:56:46 EST,08 Mar 2023 - 19:00:18 EST,212.0,209.0,1678319806.0,1678320018.0,0.0,,TerminateComplete,1.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36",Windows 10.0,Chrome 109.0.0.0,71.8.131.151,1583.0,,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,,,,5.0,5.0,2.0,,5.0,121.0,CBC1_1677959355_6,,7.0,11.0,7.0,8.0,18.0,16.0,7.0,6.0,6.0,9.0,2.0,7.0,2.0,6.0,2.0,4.0,7.0,1.0,3.0,3.0,3.0,11.0,,5dde0d3ce2dcbdd798721c65,sneakers,autos,watches,1.0,2.0,2.0,5.0,,,,,,,,,4.0,4.0,2.0,2.0,1.0,6.0,4.0,5.0,9.0,,,22.0,23.0,1.5,1.0,-4.5,2.5,1.0,1.0,-1.5,5.0,
122,5.0,1.0,08 Mar 2023 - 18:56:57 EST,08 Mar 2023 - 19:02:27 EST,330.0,329.0,1678319817.0,1678320147.0,0.0,,TerminateComplete,1.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36",Windows 10.0,Chrome 110.0.0.0,2600:4040:79c7:b700:acdb:98c3:6eeb:2579,1263.0,,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,,,,5.0,2.0,2.0,,5.0,122.0,CBC1_1677959355_6,,28.0,9.0,2.0,4.0,23.0,34.0,5.0,4.0,5.0,11.0,3.0,5.0,3.0,4.0,4.0,3.0,5.0,5.0,6.0,4.0,5.0,4.0,,6404d2db903fff3dbe9f301f,Shoes,Cars,Watches,2.0,2.0,2.0,1.0,3.0,0.0,0.0,1.0,0.0,3.0,4.0,"I would like a watch that has monotone color schemes, like black and silver, and that has a nice contrast between features. I like bands that are either a solid color, or chain style.",4.0,4.0,4.0,9.0,1.0,6.0,4.0,6.0,5.0,11.0,80.0,15.0,32.0,-1.5,1.0,2.5,2.5,1.0,1.0,0.5,1.0,-1.0
123,5.0,1.0,08 Mar 2023 - 18:59:07 EST,08 Mar 2023 - 19:01:46 EST,159.0,155.0,1678319947.0,1678320106.0,0.0,,TerminateComplete,1.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36",Windows 10.0,Chrome 110.0.0.0,24.186.171.81,1192.0,,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,,,,5.0,4.0,1.0,,3.0,123.0,CBC1_1677959355_6,,6.0,8.0,4.0,4.0,5.0,3.0,11.0,1.0,6.0,1.0,3.0,3.0,3.0,5.0,5.0,2.0,3.0,4.0,3.0,3.0,3.0,3.0,,5ac5a9a9f69e940001d984b5,shoes,cars,watches,1.0,2.0,2.0,4.0,4.0,1.0,1.0,0.0,0.0,3.0,4.0,"I like a watch that is either black or silver,  or leather and antique looking.",5.0,4.0,3.0,4.0,2.0,4.0,4.0,4.0,3.0,6.0,31.0,6.0,12.0,0.5,-1.0,-2.5,0.5,2.0,1.0,-0.5,4.0,-1.0
124,4.0,1.0,08 Mar 2023 - 19:04:35 EST,08 Mar 2023 - 19:05:20 EST,45.0,44.0,1678320275.0,1678320320.0,0.0,,TeminateIncomplete,1.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36",Windows 10.0,Chrome 110.0.0.0,2600:1700:5bd0:7e80:79b4:cd81:f7c8:7ddb,1920.0,,1.0,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,7.0,13.0,4.0,6.0,14.0,,,,,,,,,,,,,,,,,,,60fae3023760e4e5489a8c51,shoes,cars,watches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,5.0,1.0,08 Mar 2023 - 19:04:38 EST,08 Mar 2023 - 19:21:16 EST,998.0,993.0,1678320278.0,1678321276.0,0.0,,TerminateComplete,1.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36 Edg/110.0.1587.63",Windows 10.0,Edg 110.0.1587.63,66.235.168.219,1425.0,,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,,,,5.0,2.0,2.0,,2.0,125.0,CBC1_1677959355_6,,12.0,11.0,5.0,8.0,17.0,12.0,15.0,9.0,8.0,10.0,10.0,4.0,11.0,8.0,5.0,4.0,4.0,4.0,3.0,4.0,11.0,11.0,,5eb1698b8fb92e076da5a698,Shoes,Cars,watches,1.0,1.0,1.0,4.0,5.0,1.0,1.0,0.0,0.0,3.0,2.0,"Mechanical, not quartz, smooth movement. Slim band, any metal besides yellow gold, or any color of leather, small, round face, small hands, small number features or dashes for numbers, no date window. Face cased to contrast band, window to easily view the internal gears.",4.0,4.0,5.0,3.0,3.0,4.0,4.0,4.0,13.0,23.0,711.0,15.0,37.0,-1.5,-2.0,-3.5,0.5,1.0,1.0,1.5,4.0,-1.0
126,5.0,1.0,08 Mar 2023 - 19:09:10 EST,08 Mar 2023 - 19:23:37 EST,867.0,866.0,1678320550.0,1678321417.0,0.0,,TerminateComplete,1.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36",Windows 10.0,Chrome 110.0.0.0,2601:19c:5180:2b70:f314:3e60:9b91:9423,1263.0,,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,,,,5.0,2.0,1.0,,5.0,126.0,CBC1_1677959355_6,,36.0,28.0,16.0,15.0,25.0,25.0,16.0,8.0,10.0,14.0,4.0,7.0,6.0,7.0,9.0,5.0,8.0,15.0,6.0,5.0,6.0,8.0,,62feda7fd4551fe2fc91be5f,shoes,Car,Watches,2.0,2.0,2.0,1.0,4.0,0.0,1.0,0.0,0.0,7.0,4.0,The previous question would only allow me to select one brand but besides Rolex I am familiar with Omega and TAG Heuer. My ideal watch design would be that similar to a Rolex Oyster Perpetual Date Just or Air King with a 40/41 mm face.,4.0,5.0,3.0,11.0,2.0,6.0,8.0,6.0,153.0,57.0,303.0,34.0,26.0,-1.5,1.0,4.5,2.5,1.0,2.0,-0.5,1.0,3.0
127,5.0,1.0,08 Mar 2023 - 19:09:20 EST,08 Mar 2023 - 19:15:21 EST,361.0,360.0,1678320560.0,1678320921.0,0.0,,TerminateComplete,1.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36",Windows 10.0,Chrome 110.0.0.0,2600:1700:6cb2:bc00:61e8:21e3:b7e1:584,1688.0,,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,,,,5.0,2.0,1.0,,3.0,127.0,CBC1_1677959355_6,,12.0,10.0,15.0,10.0,28.0,13.0,8.0,7.0,5.0,11.0,6.0,5.0,5.0,9.0,14.0,7.0,4.0,5.0,6.0,7.0,8.0,5.0,,62de402472936426ad234fb2,shoes,cars,watches,2.0,2.0,2.0,1.0,3.0,1.0,1.0,0.0,1.0,6.0,2.0,clean simple lines. heavy preference to silver/stainless steel/titanium,5.0,5.0,5.0,12.0,1.0,5.0,4.0,5.0,7.0,14.0,85.0,17.0,28.0,-1.5,-1.0,5.5,1.5,2.0,2.0,1.5,1.0,2.0
128,5.0,1.0,08 Mar 2023 - 19:09:45 EST,08 Mar 2023 - 19:13:13 EST,208.0,206.0,1678320585.0,1678320793.0,0.0,,TerminateComplete,1.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36",Windows 10.0,Chrome 110.0.0.0,2603:6080:b340:4482:ed22:2bf:7a39:acbe,1519.0,,1.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,,,,5.0,3.0,1.0,,6.0,128.0,CBC1_1677959355_6,,4.0,6.0,5.0,5.0,9.0,5.0,4.0,3.0,4.0,4.0,3.0,4.0,5.0,4.0,4.0,3.0,3.0,2.0,3.0,4.0,3.0,3.0,,5c2cb3b41f8ea700015c44f0,Shoe,Car,Watch,1.0,2.0,2.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,4.0,"Light weight, aesthetically pleasing, and functional.",2.0,5.0,2.0,11.0,2.0,6.0,2.0,4.0,5.0,8.0,64.0,19.0,14.0,-0.5,2.0,4.5,2.5,-1.0,2.0,-1.5,1.0,-3.0
129,5.0,1.0,08 Mar 2023 - 19:13:15 EST,08 Mar 2023 - 19:17:55 EST,280.0,277.0,1678320795.0,1678321075.0,0.0,,TerminateComplete,1.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36",Windows 10.0,Chrome 110.0.0.0,24.185.104.131,3423.0,,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,,,,5.0,2.0,1.0,,3.0,129.0,CBC1_1677959355_6,,5.0,8.0,16.0,6.0,15.0,13.0,7.0,3.0,3.0,8.0,4.0,4.0,2.0,3.0,2.0,4.0,5.0,5.0,2.0,3.0,3.0,3.0,,5f4813c94e8b081877fb26a6,shoes,cars,watches,1.0,2.0,2.0,3.0,4.0,0.0,1.0,0.0,0.0,5.0,4.0,"Big face, shiny, silver or black band, looks nice and gives off a ""successful"" impression.",4.0,5.0,3.0,5.0,1.0,6.0,3.0,3.0,6.0,14.0,96.0,17.0,14.0,-1.5,-1.0,-1.5,2.5,1.0,2.0,-0.5,3.0,1.0
130,4.0,1.0,08 Mar 2023 - 19:13:43 EST,08 Mar 2023 - 19:14:06 EST,23.0,23.0,1678320823.0,1678320846.0,0.0,,TeminateIncomplete,1.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36 Edg/110.0.1587.56",Windows 10.0,Edg 110.0.1587.56,12.157.79.121,1302.0,,1.0,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,8.0,3.0,3.0,3.0,6.0,,,,,,,,,,,,,,,,,,,63614d2f3531a1f02d12fe94,Sneakers,cars,watches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
